seqid,signalp_type,p_other,p_SP,signalp_start,signalp_end,phobius_start,phobius_end,phobius_type,count_up_1000,count_up_200,count_up_100,phobius_compound_hydro,signalp_compound_hydro
YLR270W,OTHER,1,0,NA,NA,0,0,OTHER,4,0,0,NA,NA
YPR084W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDL222C,OTHER,1,0,NA,NA,6,27,TM,3,1,1,69.42222222222225,NA
YEL065W,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR296C,OTHER,0.999907,8.4e-5,NA,NA,25,46,TM,10,0,0,27.866666666666667,NA
YDR232W,OTHER,1,0,NA,NA,0,0,OTHER,3,2,0,NA,NA
YDR313C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YFR018C,SP,5.96e-4,0.999413,5,23,11,21,SP,1,0,0,29.333333333333332,50.666666666666664
YNL292W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YKL183C-A,OTHER,0.999995,7e-6,NA,NA,12,39,TM,1,0,0,70.3111111111111,NA
YOR192C-B,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YIL146C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YNL218W,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YIL121W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YBR270C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YGR222W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YEL063C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YML020W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGR121C,OTHER,1,0,NA,NA,20,40,TM,1,0,0,58.56666666666667,NA
YBR222C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDL003W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR183C,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOR274W,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YER146W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YPL063W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YML075C,OTHER,1,7e-6,NA,NA,29,49,TM,4,1,0,62.53333333333333,NA
YLR273C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR457W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR181C,OTHER,1,1e-6,NA,NA,0,0,OTHER,3,2,0,NA,NA
YGL097W,OTHER,1,2.1e-5,NA,NA,0,0,OTHER,1,0,0,NA,NA
YER123W,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YKR054C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGR055W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR383C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YKL055C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR035W,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YHR160C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR070C,OTHER,0.999938,4.6e-5,NA,NA,0,0,OTHER,2,0,0,NA,NA
YPR019W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YPL228W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOL137W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGL155W,OTHER,1,9e-6,NA,NA,0,0,OTHER,3,0,0,NA,NA
YER061C,OTHER,1,0,NA,NA,5,16,SP,0,0,0,29.200000000000003,NA
YHR186C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLL019C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNL257C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YBR291C,OTHER,1,4e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBL059W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR078C,OTHER,1,0,NA,NA,0,0,OTHER,3,2,0,NA,NA
YFL012W,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YDR262W,SP,0.006785,0.993171,3,15,7,18,SP,1,1,0,26.666666666666668,28.88888888888889
YIL053W,OTHER,1,0,NA,NA,0,0,OTHER,2,2,0,NA,NA
YGR220C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YGL162W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBR234C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YKR060W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR411W,OTHER,0.99998,1.7e-5,NA,NA,44,60,TM,1,1,0,52.133333333333326,NA
YLR318W,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGL219C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YFL009W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBR045C,OTHER,1,0,NA,NA,0,0,OTHER,3,2,1,NA,NA
YPR127W,OTHER,1,0,NA,NA,0,0,OTHER,3,1,0,NA,NA
YPL188W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR217C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YML015C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YJR126C,OTHER,1,4e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR026W,OTHER,0.999968,3.7e-5,NA,NA,42,60,TM,5,1,0,63.544444444444444,NA
YHR073W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR274C,OTHER,1,0,NA,NA,6,24,TM,0,0,0,53.41111111111112,NA
YDR034C-C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YNL081C,OTHER,1,0,NA,NA,0,0,OTHER,3,1,0,NA,NA
YDR532C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR049W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YKL170W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR171W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YML063W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR178C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YHL029C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YOR184W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR372C,OTHER,1,4e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR203W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YBL024W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR317W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YJL038C,OTHER,0.794203,0.20578,NA,NA,6,22,TM,0,0,0,43.06666666666666,NA
YHR028C,OTHER,1,4e-6,NA,NA,27,45,TM,1,0,0,69.45555555555558,NA
YOR340C,OTHER,1,5e-6,NA,NA,0,0,OTHER,2,2,2,NA,NA
YCL044C,OTHER,0.999901,1.01e-4,NA,NA,0,0,OTHER,2,2,2,NA,NA
YFR022W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YIR010W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBL008W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOL008W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR178W,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YHR017W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YIL034C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YLR148W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YIL043C,OTHER,1,0,NA,NA,6,25,TM,0,0,0,85.33333333333334,NA
YGR231C,OTHER,0.999942,4.5e-5,NA,NA,38,59,TM,2,1,0,47.91111111111112,NA
YNL021W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPL107W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YCR063W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDL048C,OTHER,0.999962,5.5e-5,NA,NA,0,0,OTHER,4,0,0,NA,NA
YNL056W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDL025C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YAL020C,OTHER,1,1e-6,NA,NA,0,0,OTHER,5,0,0,NA,NA
YFL017C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDL243C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YGL197W,OTHER,1,1e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YHR092C,OTHER,1,3e-6,NA,NA,0,0,OTHER,1,1,0,NA,NA
YNR074C,OTHER,1,1.6e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR113C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YOR081C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YPL024W,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR442C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
YKL122C,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR168W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YHR109W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YPL061W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR223W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDR402C,OTHER,0.999998,0,NA,NA,6,16,SP,1,0,0,34.34444444444444,NA
YGR241C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR156W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YPR131C,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR029C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
YMR155W,OTHER,1,2e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDR272W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNR044W,SP,2.36e-4,0.999737,3,19,8,19,SP,0,0,0,27.6,39.1
YLR139C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YKL142W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR429C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YNR031C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGL079W,OTHER,1,1e-6,NA,NA,0,0,OTHER,4,0,0,NA,NA
YOR004W,OTHER,1,4e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YMR233W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLL010C,OTHER,1,3e-6,NA,NA,0,0,OTHER,4,3,1,NA,NA
YNL104C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YOR365C,SP,0.002187,0.997788,3,19,12,19,SP,1,0,0,21.06666666666667,44.76666666666667
YIL005W,SP,3.71e-4,0.999598,8,24,8,19,SP,3,0,0,31.06666666666667,44.01111111111111
YGL131C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNR040W,OTHER,0.999944,5.3e-5,NA,NA,41,59,TM,5,1,1,44.33333333333334,NA
YDR246W-A,OTHER,0.979708,0.020285,NA,NA,7,14,SP,0,0,0,13.866666666666665,NA
YNR034W,OTHER,1,1e-6,NA,NA,0,0,OTHER,2,1,0,NA,NA
YEL076C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YGR243W,OTHER,0.999905,9.1e-5,NA,NA,0,0,OTHER,2,1,0,NA,NA
YLR012C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR054C,OTHER,1,8e-6,NA,NA,0,0,OTHER,3,2,2,NA,NA
YOR005C,OTHER,1,2e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YPR147C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YBR092C,SP,4.12e-4,0.99958,4,14,4,12,SP,0,0,0,19.700000000000003,24.07777777777778
YJL028W,OTHER,0.999898,7.4e-5,NA,NA,32,60,TM,2,0,0,80.55555555555556,NA
YLR077W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YCR081W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBL040C,OTHER,0.999695,3.01e-4,NA,NA,0,0,OTHER,0,0,0,NA,NA
YJR127C,OTHER,0.999991,1.9e-5,NA,NA,0,0,OTHER,1,0,0,NA,NA
YHR128W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YDR225W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YJR003C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YHR136C,OTHER,0.999932,8.4e-5,NA,NA,0,0,OTHER,5,2,1,NA,NA
YPR114W,OTHER,0.999999,1.6e-5,NA,NA,38,57,TM,2,0,0,38.22222222222222,NA
YPL247C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR482C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBL058W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YKL107W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YMR186W,OTHER,1,0,NA,NA,0,0,OTHER,4,1,1,NA,NA
YCR065W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR002C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YFL045C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR091C,OTHER,1,1e-6,NA,NA,6,27,TM,3,1,0,57.19999999999999,NA
YOL083W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNL020C,OTHER,1,0,NA,NA,0,0,OTHER,3,1,1,NA,NA
YGL125W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YKR038C,OTHER,1,0,NA,NA,0,0,OTHER,2,2,1,NA,NA
YDL215C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR354C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YFR008W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YKL051W,OTHER,1,0,NA,NA,12,34,TM,1,0,0,62.1,NA
YPR174C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YMR091C,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,1,0,NA,NA
YKL194C,OTHER,1,1e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR308W,SP,0.182932,0.817048,3,22,10,20,SP,2,1,1,27.133333333333333,49.333333333333336
YBR065C,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR029C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR121W,SP,0.001693,0.998304,3,9,2,13,SP,3,1,0,38.13333333333334,22.244444444444447
YGL178W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YGL157W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YMR148W,OTHER,1,0,NA,NA,7,27,TM,1,0,0,59.5,NA
YLR249W,OTHER,1,0,NA,NA,0,0,OTHER,5,4,4,NA,NA
YJL049W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YOR249C,OTHER,0.998706,0.001301,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR286C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR170W-A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR342W-A,OTHER,0.999985,2.2e-5,NA,NA,6,25,TM,1,0,0,45.777777777777786,NA
YBL043W,OTHER,1,0,NA,NA,0,0,OTHER,3,2,0,NA,NA
YLR018C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YOR251C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOR186W,OTHER,1,1e-6,NA,NA,0,0,OTHER,2,1,1,NA,NA
YOR011W-A,OTHER,1,2e-6,NA,NA,0,0,OTHER,3,0,0,NA,NA
YOR267C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YLR109W,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
YOR032C,OTHER,1,1.1e-5,NA,NA,0,0,OTHER,5,1,1,NA,NA
YOR091W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR316C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YLR292C,OTHER,0.999861,1.47e-4,NA,NA,0,0,OTHER,1,0,0,NA,NA
YLR216C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YCR044C,SP,2.29e-4,0.999747,3,15,3,14,SP,2,1,0,39.06666666666666,42.32222222222222
YOR369C,OTHER,1,8e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOR138C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YJR145C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YHR059W,OTHER,1,0,NA,NA,0,0,OTHER,4,3,1,NA,NA
YHL009W-B,OTHER,1,2e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR098C-B,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNL156C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YNL093W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YIL040W,OTHER,0.999985,1e-5,NA,NA,40,58,TM,4,3,0,52.777777777777786,NA
YKL104C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YLR186W,OTHER,1,0,NA,NA,0,0,OTHER,3,1,1,NA,NA
YJR094W-A,OTHER,1,0,NA,NA,0,0,OTHER,4,0,0,NA,NA
YDR293C,OTHER,1,0,NA,NA,0,0,OTHER,5,0,0,NA,NA
YKL006W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR448W,OTHER,1,2.4e-5,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDR097C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
YJL066C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
YPL060C-A,OTHER,1,2e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YOR194C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YCR097W,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YBR115C,OTHER,0.999924,8.1e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBR147W,OTHER,1,1e-6,NA,NA,12,34,TM,2,0,0,72.83333333333333,NA
YFL003C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YML079W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR065C,OTHER,1,1e-6,NA,NA,20,37,TM,1,1,0,43.2,NA
YNL298W,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YER078C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR129W,OTHER,1,7e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YCL067C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YPL152W-A,OTHER,1,5e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YAL039C,OTHER,0.999982,5.4e-5,NA,NA,0,0,OTHER,2,0,0,NA,NA
YOR261C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YMR316W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YCR027C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YMR263W,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,1,0,NA,NA
YAL001C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YJR132W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDR192C,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDL106C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR365C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YNL280C,OTHER,1,1e-6,NA,NA,12,34,TM,4,0,0,55.20000000000001,NA
YDR505C,OTHER,0.999929,8.3e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
YCR030C,OTHER,1,3e-6,NA,NA,0,0,OTHER,2,1,0,NA,NA
YMR211W,OTHER,1,1e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
YIL176C,SP,0.001318,0.998667,4,16,4,15,SP,0,0,0,29.06666666666667,31.488888888888894
YBR221W-A,OTHER,0.999986,1.6e-5,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBL036C,OTHER,1,0,NA,NA,0,0,OTHER,2,2,2,NA,NA
YGR072W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YNL069C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YER022W,OTHER,1,4e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YCL010C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YJR024C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YFR011C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBR042C,OTHER,1,1e-6,NA,NA,12,33,TM,1,0,0,61.84444444444446,NA
YDR256C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YFL065C,OTHER,1,4e-6,NA,NA,0,0,OTHER,1,1,0,NA,NA
YNL287W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
